#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
273158:4915,05/11/16 20:42:35,1279,HLT_PFJet140_v4,0.000020356,0.000014851
273302:4919,05/13/16 02:13:38,459,HLT_PFJet140_v4,0.000001225,0.000001175
273402:4924,05/14/16 01:49:19,193,HLT_PFJet140_v4,0.000002546,0.000002404
273403:4924,05/14/16 03:05:27,65,HLT_PFJet140_v4,0.000001695,0.000001312
273404:4924,05/14/16 03:31:50,22,HLT_PFJet140_v4,0.000000570,0.000000440
273405:4924,05/14/16 03:42:33,28,HLT_PFJet140_v4,0.000000722,0.000000576
273406:4924,05/14/16 03:56:09,117,HLT_PFJet140_v4,0.000002971,0.000002717
273408:4924,05/14/16 04:52:04,8,HLT_PFJet140_v4,0.000175351,0.000083089
273409:4924,05/14/16 04:56:41,314,HLT_PFJet140_v4,0.000537766,0.000475641
273410:4924,05/14/16 06:59:49,98,HLT_PFJet140_v4,0.000163047,0.000137652
273411:4924,05/14/16 07:38:50,29,HLT_PFJet140_v4,0.000039567,0.000037052
273425:4925,05/14/16 11:17:57,678,HLT_PFJet140_v4,0.000002725,0.000002566
273446:4926,05/14/16 20:06:55,46,HLT_PFJet140_v4,0.000000153,0.000000103
273447:4926,05/14/16 20:26:09,419,HLT_PFJet140_v4,0.000001332,0.000001245
273448:4926,05/14/16 23:11:51,396,HLT_PFJet140_v4,0.000001209,0.000001123
273449:4926,05/15/16 01:50:28,210,HLT_PFJet140_v4,0.000001158,0.000001095
273450:4926,05/15/16 03:19:37,643,HLT_PFJet140_v4,0.000003229,0.000003092
273492:4930,05/16/16 09:07:35,267,HLT_PFJet140_v4,0.000009200,0.000008739
273493:4930,05/16/16 10:55:49,233,HLT_PFJet140_v4,0.000007863,0.000007462
273494:4930,05/16/16 12:28:40,192,HLT_PFJet140_v4,0.000006273,0.000006070
273502:4935,05/16/16 20:00:07,997,HLT_PFJet140_v4,0.000035280,0.000033719
273503:4935,05/17/16 02:31:25,598,HLT_PFJet140_v4,0.000018836,0.000018256
273554:4942,05/18/16 05:30:44,366,HLT_PFJet140_v4,0.000010158,0.000009613
273555:4942,05/18/16 07:55:51,173,HLT_PFJet140_v4,0.000004526,0.000004380
273725:4947,05/20/16 02:37:26,2470,HLT_PFJet140_v4,0.000286566,0.000276055
273728:4947,05/20/16 19:02:03,104,HLT_PFJet140_v4,0.000015253,0.000014104
273730:4947,05/20/16 19:47:25,2126,HLT_PFJet140_v4,0.001753073,0.001682941
274094:4953,05/27/16 02:21:04,225,HLT_PFJet140_v4,0.000029182,0.000028080
274146:4956,05/27/16 22:11:21,70,HLT_PFJet140_v4,0.000004249,0.000003691
274157:4958,05/28/16 11:50:04,427,HLT_PFJet140_v4,0.000015054,0.000014232
274159:4958,05/28/16 14:43:47,43,HLT_PFJet140_v4,0.000002897,0.000002567
274160:4958,05/28/16 15:02:52,211,HLT_PFJet140_v4,0.000013797,0.000012985
274161:4958,05/28/16 16:26:18,516,HLT_PFJet140_v4,0.000031468,0.000030389
274172:4960,05/29/16 00:45:19,65,HLT_PFJet140_v4,0.000002650,0.000002340
274198:4961,05/29/16 20:00:35,112,HLT_PFJet140_v4,0.000004074,0.000003678
274199:4961,05/29/16 20:45:19,630,HLT_PFJet140_v4,0.000031526,0.000029964
274200:4961,05/30/16 00:53:47,674,HLT_PFJet140_v4,0.000044956,0.000043620
274240:4964,05/30/16 13:59:19,83,HLT_PFJet140_v4,0.000002524,0.000002322
274241:4964,05/30/16 14:43:35,1176,HLT_PFJet140_v4,0.000059077,0.000056409
274244:4964,05/30/16 22:37:51,593,HLT_PFJet140_v4,0.000137741,0.000133207
274250:4965,05/31/16 05:55:31,703,HLT_PFJet140_v4,0.000023740,0.000022408
274251:4965,05/31/16 10:30:54,546,HLT_PFJet140_v4,0.000023051,0.000022309
274283:4976,06/01/16 03:25:03,19,HLT_PFJet140_v4,0.000000720,0.000000093
274284:4976,06/01/16 03:34:51,213,HLT_PFJet140_v4,0.000007514,0.000007011
274286:4976,06/01/16 05:04:18,154,HLT_PFJet140_v4,0.000005277,0.000005050
274314:4979,06/01/16 15:02:56,69,HLT_PFJet140_v4,0.000002971,0.000002362
274315:4979,06/01/16 15:32:32,425,HLT_PFJet140_v4,0.000017324,0.000016404
274316:4979,06/01/16 18:20:25,970,HLT_PFJet140_v4,0.000033440,0.000031993
274317:4979,06/02/16 00:39:53,18,HLT_PFJet140_v4,0.000003953,0.000000515
274319:4979,06/02/16 00:56:19,225,HLT_PFJet140_v4,0.000006891,0.000006665
274335:4980,06/02/16 09:10:43,944,HLT_PFJet140_v4,0.000036244,0.000034703
274336:4980,06/02/16 15:25:02,14,HLT_PFJet140_v4,0.000000486,0.000000422
274337:4980,06/02/16 15:32:31,17,HLT_PFJet140_v4,0.000000587,0.000000431
274338:4980,06/02/16 15:41:22,698,HLT_PFJet140_v4,0.000042137,0.000039708
274339:4980,06/02/16 20:15:40,95,HLT_PFJet140_v4,0.000005457,0.000005131
274344:4980,06/02/16 21:29:06,634,HLT_PFJet140_v4,0.000110041,0.000104404
274345:4980,06/03/16 01:37:46,170,HLT_PFJet140_v4,0.000052695,0.000051086
274382:4984,06/03/16 15:37:56,51,HLT_PFJet140_v4,0.000001887,0.000001757
274387:4985,06/03/16 19:10:09,355,HLT_PFJet140_v4,0.000014732,0.000013775
274388:4985,06/03/16 21:32:38,1820,HLT_PFJet140_v4,0.000096327,0.000092940
274420:4988,06/04/16 20:16:58,176,HLT_PFJet140_v4,0.000007023,0.000006643
274421:4988,06/04/16 21:28:04,348,HLT_PFJet140_v4,0.000013510,0.000012748
274422:4988,06/04/16 23:46:51,2207,HLT_PFJet140_v4,0.000263447,0.000255779
274440:4990,06/05/16 19:32:38,406,HLT_PFJet140_v4,0.000013788,0.000013096
274441:4990,06/05/16 22:13:06,437,HLT_PFJet140_v4,0.000016879,0.000015977
274442:4990,06/06/16 01:05:09,752,HLT_PFJet140_v4,0.000041311,0.000039966
274954:5005,06/11/16 09:40:51,21,HLT_PFJet140_v5,0.000003511,0.000002784
274955:5005,06/11/16 09:52:07,91,HLT_PFJet140_v5,0.000014436,0.000013772
274968:5013,06/11/16 22:51:22,1205,HLT_PFJet140_v5,0.000135361,0.000127990
274969:5013,06/12/16 06:41:54,1003,HLT_PFJet140_v5,0.000132311,0.000123067
274970:5013,06/12/16 13:12:54,47,HLT_PFJet140_v5,0.000005763,0.000004337
274971:5013,06/12/16 13:33:30,905,HLT_PFJet140_v5,0.000101595,0.000098459
274998:5017,06/13/16 04:19:30,725,HLT_PFJet140_v5,0.000086918,0.000081519
274999:5017,06/13/16 09:04:45,1252,HLT_PFJet140_v5,0.000161985,0.000155098
275000:5017,06/13/16 17:15:35,140,HLT_PFJet140_v5,0.000016957,0.000015948
275001:5017,06/13/16 18:12:42,2057,HLT_PFJet140_v5,0.000241842,0.000235660
275059:5020,06/14/16 16:49:52,42,HLT_PFJet140_v5,0.000004007,0.000003141
275066:5020,06/14/16 17:45:35,105,HLT_PFJet140_v5,0.000012468,0.000010856
275067:5020,06/14/16 18:28:40,396,HLT_PFJet140_v5,0.000046666,0.000044429
275068:5020,06/14/16 21:05:49,921,HLT_PFJet140_v5,0.000111051,0.000105871
275073:5020,06/15/16 03:32:47,519,HLT_PFJet140_v5,0.000071074,0.000068311
275074:5020,06/15/16 06:56:59,647,HLT_PFJet140_v5,0.000078910,0.000076334
275124:5021,06/15/16 17:50:26,328,HLT_PFJet140_v5,0.000038066,0.000035966
275125:5021,06/15/16 20:00:21,989,HLT_PFJet140_v5,0.000122267,0.000116953
275282:5024,06/17/16 00:05:52,91,HLT_PFJet140_v5,0.000010284,0.000009619
275283:5024,06/17/16 00:43:11,132,HLT_PFJet140_v5,0.000016831,0.000016027
275284:5024,06/17/16 01:36:53,74,HLT_PFJet140_v5,0.000009236,0.000008892
275290:5024,06/17/16 03:58:56,48,HLT_PFJet140_v5,0.000005499,0.000001914
275291:5024,06/17/16 04:28:35,352,HLT_PFJet140_v5,0.000041905,0.000039802
275292:5024,06/17/16 06:46:47,121,HLT_PFJet140_v5,0.000016448,0.000015677
275293:5024,06/17/16 07:37:27,200,HLT_PFJet140_v5,0.000026020,0.000025138
275309:5026,06/17/16 13:48:15,570,HLT_PFJet140_v5,0.000072477,0.000068846
275310:5026,06/17/16 17:32:53,1935,HLT_PFJet140_v5,0.000231740,0.000223928
275311:5026,06/18/16 06:07:07,1253,HLT_PFJet140_v5,0.000158074,0.000154307
275319:5027,06/18/16 18:56:15,146,HLT_PFJet140_v5,0.000015912,0.000014558
275337:5027,06/18/16 21:26:04,430,HLT_PFJet140_v5,0.000051661,0.000049278
275338:5027,06/19/16 00:15:37,520,HLT_PFJet140_v5,0.000066895,0.000064721
275344:5028,06/19/16 08:18:25,287,HLT_PFJet140_v5,0.000031746,0.000029838
275345:5028,06/19/16 10:12:11,353,HLT_PFJet140_v5,0.000044752,0.000042794
275370:5029,06/19/16 16:19:29,291,HLT_PFJet140_v5,0.000032894,0.000030642
275371:5029,06/19/16 18:16:49,569,HLT_PFJet140_v5,0.000070732,0.000067189
275375:5030,06/20/16 02:17:12,1327,HLT_PFJet140_v5,0.000162983,0.000156363
275376:5030,06/20/16 10:55:04,3096,HLT_PFJet140_v5,0.000387347,0.000377410
275657:5038,06/24/16 03:32:32,109,HLT_PFJet140_v5,0.000011582,0.000010169
275658:5038,06/24/16 04:16:07,344,HLT_PFJet140_v5,0.000038586,0.000035755
275659:5038,06/24/16 06:31:38,17,HLT_PFJet140_v5,0.000001801,0.000001740
275761:5043,06/25/16 04:24:16,11,HLT_PFJet140_v5,0.000001173,0.000000841
275767:5043,06/25/16 05:31:36,8,HLT_PFJet140_v5,0.000001895,0.000000838
275772:5043,06/25/16 06:28:17,61,HLT_PFJet140_v5,0.000006954,0.000006148
275773:5043,06/25/16 06:53:33,12,HLT_PFJet140_v5,0.000002694,0.000001404
275774:5043,06/25/16 07:01:55,316,HLT_PFJet140_v5,0.000036599,0.000034450
275776:5043,06/25/16 09:11:23,143,HLT_PFJet140_v5,0.000018043,0.000016776
275777:5043,06/25/16 10:12:24,304,HLT_PFJet140_v5,0.000036452,0.000034559
275778:5043,06/25/16 12:13:15,319,HLT_PFJet140_v5,0.000035717,0.000032973
275782:5043,06/25/16 14:44:49,761,HLT_PFJet140_v5,0.000104124,0.000100227
275832:5045,06/26/16 17:18:04,371,HLT_PFJet140_v5,0.000042665,0.000039587
275833:5045,06/26/16 19:45:07,251,HLT_PFJet140_v5,0.000028899,0.000027528
275834:5045,06/26/16 21:26:02,297,HLT_PFJet140_v5,0.000034962,0.000033619
275835:5045,06/26/16 23:24:23,13,HLT_PFJet140_v5,0.000001638,0.000001493
275836:5045,06/26/16 23:32:00,1284,HLT_PFJet140_v5,0.000160978,0.000152540
275837:5045,06/27/16 07:59:11,715,HLT_PFJet140_v5,0.000086792,0.000084176
275847:5045,06/27/16 13:59:22,2263,HLT_PFJet140_v5,0.000263852,0.000257610
275886:5048,06/28/16 08:39:25,40,HLT_PFJet140_v5,0.000004402,0.000003832
275890:5048,06/28/16 09:27:45,1393,HLT_PFJet140_v5,0.000164094,0.000157556
275911:5052,06/29/16 01:49:35,381,HLT_PFJet140_v5,0.000042292,0.000040056
275912:5052,06/29/16 04:21:23,297,HLT_PFJet140_v5,0.000033822,0.000031514
275913:5052,06/29/16 06:19:55,480,HLT_PFJet140_v5,0.000058746,0.000055277
275918:5052,06/29/16 09:29:20,332,HLT_PFJet140_v5,0.000037120,0.000035845
275920:5052,06/29/16 11:54:52,472,HLT_PFJet140_v5,0.000065677,0.000061515
275921:5052,06/29/16 14:59:30,27,HLT_PFJet140_v5,0.000003641,0.000002718
275923:5052,06/29/16 15:16:55,127,HLT_PFJet140_v5,0.000016791,0.000016046
275931:5052,06/29/16 16:34:22,89,HLT_PFJet140_v5,0.000011330,0.000011010
275963:5056,06/30/16 01:02:54,90,HLT_PFJet140_v5,0.000010433,0.000009885
276092:5060,07/01/16 02:14:32,80,HLT_PFJet140_v5,0.000008426,0.000007464
276097:5060,07/01/16 03:07:31,507,HLT_PFJet140_v5,0.000059537,0.000057130
276242:5069,07/02/16 14:05:34,1649,HLT_PFJet140_v5,0.000205325,0.000194787
276243:5069,07/03/16 00:56:20,625,HLT_PFJet140_v5,0.000085468,0.000078523
276244:5069,07/03/16 05:03:30,1202,HLT_PFJet140_v5,0.000138838,0.000133637
